id,recommended_place,state,budget_preference,original_budget_preference,budget_changed,budget_confidence,budget_audit_reason,activity_interest,trip_duration,group_type,transportation_preference,accommodation_preference,destination_type,category,record_type,rating_imputed,price_myr_imputed,price_range_imputed,place_name,city,rating,rating_was_imputed,price_myr,price_range,duration,latitude,longitude,booking_link,source,original_recommended_place,original_place_name,original_category,original_destination_type,original_activity_interest,original_price_range,original_price_range_imputed,include_for_generator,price_basis_clean,data_quality_flags
7317,Kota Tinggi Waterfalls,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Couple,Tour Bus,Budget Hotel,Highland & Nature,Sightseeing & Tours,attraction,4.5,0.0,Free,Kota Tinggi Waterfalls,,,True,0.0,Free,,1.830415,103.8322397,,OSM,Kota Tinggi Waterfalls,Kota Tinggi Waterfalls,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,
7318,Licuala Garden,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Licuala Garden,,,True,0.0,Free,,1.5465861,103.7224298,,OSM,Licuala Garden,Licuala Garden,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7319,Lake Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Lake Park,,,True,0.0,Free,,1.4856044,103.8445278,,OSM,Lake Park,Lake Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7320,Mahkota Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Mahkota Park,,,True,0.0,Free,,1.424286,103.6376401,,OSM,Mahkota Park,Mahkota Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7321,Laman Tasik Pandan,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Laman Tasik Pandan,,,True,0.0,Free,,1.5130297,103.7938254,,OSM,Laman Tasik Pandan,Laman Tasik Pandan,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7322,Lane Full Of Murals,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Group of Friends,Taxi/Grab,Budget Hotel,Heritage & Culture,Sightseeing & Tours,attraction,4.3,0.0,Free,Lane Full Of Murals,,,True,0.0,Free,,2.048453,102.5681536,,OSM,Lane Full Of Murals,Lane Full Of Murals,Sightseeing & Tours,Heritage & Culture,Sightseeing,Free,Free,True,source_price,
7323,Masjid Jamek Pasir Gudang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Group of Friends,Car/Self-Drive,Budget Hotel,Heritage & Culture,Religious & Cultural,attraction,4.2,0.0,Free,Masjid Jamek Pasir Gudang,,,True,0.0,Free,,1.4753534,103.9024436,,OSM,Masjid Jamek Pasir Gudang,Masjid Jamek Pasir Gudang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7324,Monday Night Market,Johor,Budget,Budget,False,medium,known_free_or_public_place,Shopping,1 Day,Couple,Car/Self-Drive,Hostel,City & Urban,Shopping,attraction,4.5,0.0,Free,Monday Night Market,,,True,0.0,Free,,1.5163652,103.8213073,,OSM,Monday Night Market,Monday Night Market,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
7325,Jalan Danau 32 Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Jalan Danau 32 Park,,,True,0.0,Free,,1.5527538,103.809844,,OSM,Jalan Danau 32 Park,Jalan Danau 32 Park,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7326,Jalan Kenari Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Jalan Kenari Park,,,True,0.0,Free,,1.5134091,103.9149726,,OSM,Jalan Kenari Park,Jalan Kenari Park,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7327,Jalan Permatang 31 Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Jalan Permatang 31 Park,,,True,0.0,Free,,1.5596146,103.8046264,,OSM,Jalan Permatang 31 Park,Jalan Permatang 31 Park,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7328,Jalan Suria Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Jalan Suria Park,,,True,0.0,Free,,1.4556969,103.5973191,,OSM,Jalan Suria Park,Jalan Suria Park,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7329,Jetty,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Couple,Public Transport,Budget Hotel,City & Urban,Sightseeing & Tours,attraction,4.5,0.0,Free,Jetty,,,True,0.0,Free,,1.7277715,103.9084808,,OSM,Jetty,Jetty,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
7330,Kiara Recreation Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Kiara Recreation Park,,,True,0.0,Free,,1.4995381,103.904793,,OSM,Kiara Recreation Park,Kiara Recreation Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7331,Johor Bahru Night Market,Johor,Budget,Budget,False,medium,known_free_or_public_place,Shopping,Half Day,Group of Friends,Public Transport,Hostel,City & Urban,Shopping,attraction,4.3,0.0,Free,Johor Bahru Night Market,,,True,0.0,Free,,1.5062114,103.7290227,,OSM,Johor Bahru Night Market,Johor Bahru Night Market,Shopping,City & Urban,Shopping,Free,Free,True,source_price,
7332,Jomis Old Jetty,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Couple,Car/Self-Drive,Hostel,City & Urban,Sightseeing & Tours,attraction,4.5,0.0,Free,Jomis Old Jetty,,,True,0.0,Free,,1.3586467,104.2325654,,OSM,Jomis Old Jetty,Jomis Old Jetty,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
7333,Kampung Melayu Recreation Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Kampung Melayu Recreation Park,,,True,0.0,Free,,2.0417619,103.3257615,,OSM,Kampung Melayu Recreation Park,Kampung Melayu Recreation Park,Nature & Outdoors,Heritage & Culture,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7334,Jalan Bedara Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Jalan Bedara Park,,,True,0.0,Free,,1.5983005,103.8201612,,OSM,Jalan Bedara Park,Jalan Bedara Park,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7335,Kota Tinggi Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Kota Tinggi Park,,,True,0.0,Free,,1.7349217,103.9027435,,OSM,Kota Tinggi Park,Kota Tinggi Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7336,Kampung Sungai Melayu,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Group of Friends,Car/Self-Drive,Homestay,Heritage & Culture,Sightseeing & Tours,attraction,4.3,0.0,Free,Kampung Sungai Melayu,,,True,0.0,Free,,1.4521282,103.6928728,,OSM,Kampung Sungai Melayu,Kampung Sungai Melayu,Sightseeing & Tours,Heritage & Culture,Sightseeing,Free,Free,True,source_price,
7337,Kancil Recreation Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Kancil Recreation Park,,,True,0.0,Free,,1.4972521,103.9122154,,OSM,Kancil Recreation Park,Kancil Recreation Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7338,Kelapa Sawit Street Art,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,Half Day,Solo,Car/Self-Drive,Homestay,City & Urban,Sightseeing & Tours,attraction,4.3,0.0,Free,Kelapa Sawit Street Art,,,True,0.0,Free,,1.6759623,103.5283974,,OSM,Kelapa Sawit Street Art,Kelapa Sawit Street Art,Heritage & Museum,City & Urban,Culture,Free,Free,True,source_price,category_reclassified_by_keyword
7339,Kempas Utama Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Kempas Utama Park,,,True,0.0,Free,,1.5564074,103.7103125,,OSM,Kempas Utama Park,Kempas Utama Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7340,Kijang Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Kijang Park,,,True,0.0,Free,,1.4943054,103.9145331,,OSM,Kijang Park,Kijang Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7341,Harmoni Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Harmoni Park,,,True,0.0,Free,,1.5020081,103.9070392,,OSM,Harmoni Park,Harmoni Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7342,Gunung Ledang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Gunung Ledang,,,True,0.0,Free,,2.3732115,102.6078884,,OSM,Gunung Ledang,Gunung Ledang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7343,Gunung Maokil,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Gunung Maokil,,,True,0.0,Free,,2.1108664,102.9041363,,OSM,Gunung Maokil,Gunung Maokil,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7344,Gunung Muntahak,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Gunung Muntahak,,,True,0.0,Free,,1.8530024,103.8109891,,OSM,Gunung Muntahak,Gunung Muntahak,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7345,Gunung Panti Barat,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Gunung Panti Barat,,,True,0.0,Free,,1.8259151,103.8670582,,OSM,Gunung Panti Barat,Gunung Panti Barat,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
7346,Gunung Panti Timur,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Gunung Panti Timur,,,True,0.0,Free,,1.8347525,103.9001108,,OSM,Gunung Panti Timur,Gunung Panti Timur,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7347,Hutan Rizab Bukit Hantu,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Hutan Rizab Bukit Hantu,,,True,0.0,Free,,1.7480581,103.4705546,,OSM,Hutan Rizab Bukit Hantu,Hutan Rizab Bukit Hantu,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7348,Hutan Rizab Sedenak,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Hutan Rizab Sedenak,,,True,0.0,Free,,1.7082503,103.4979042,,OSM,Hutan Rizab Sedenak,Hutan Rizab Sedenak,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7349,Hutan Simpanan Kekal Banang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Hutan Simpanan Kekal Banang,,,True,0.0,Free,,1.8150766,102.9349204,,OSM,Hutan Simpanan Kekal Banang,Hutan Simpanan Kekal Banang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7350,Gunung Pukin,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Gunung Pukin,,,True,0.0,Free,,2.5259704,103.1382717,,OSM,Gunung Pukin,Gunung Pukin,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7351,Gunung Pulai,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Tour Bus,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Gunung Pulai,,,True,0.0,Free,,1.6016216,103.5462487,,OSM,Gunung Pulai,Gunung Pulai,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7352,Gunung Sumalayang,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Gunung Sumalayang,,,True,0.0,Free,,1.9611968,103.7749927,,OSM,Gunung Sumalayang,Gunung Sumalayang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7353,Gunung Tiong,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Group of Friends,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Gunung Tiong,,,True,0.0,Free,,2.4308617,103.2939649,,OSM,Gunung Tiong,Gunung Tiong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7354,Incredible Murals,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,2-3 Days,Group of Friends,Tour Bus,Hostel,City & Urban,Sightseeing & Tours,attraction,4.3,0.0,Free,Incredible Murals,,,True,0.0,Free,,2.0476446,102.5671558,,OSM,Incredible Murals,Incredible Murals,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
7355,Island Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Boat,Hostel,Beach & Island,Nature & Outdoors,attraction,4.3,0.0,Free,Island Park,,,True,0.0,Free,,1.4843866,103.8356882,,OSM,Island Park,Island Park,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
7356,Hutan Bandar Mbip,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Hutan Bandar Mbip,,,True,0.0,Free,,1.5102616,103.6325121,,OSM,Hutan Bandar Mbip,Hutan Bandar Mbip,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7357,Hutan Bandar Majlis Perbandaran Kulai,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Hutan Bandar Majlis Perbandaran Kulai,,,True,0.0,Free,,1.6690477,103.6558906,,OSM,Hutan Bandar Majlis Perbandaran Kulai,Hutan Bandar Majlis Perbandaran Kulai,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7358,Hutan Lipur Gunung Pulai,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Hutan Lipur Gunung Pulai,,,True,0.0,Free,,1.582161,103.5489142,,OSM,Hutan Lipur Gunung Pulai,Hutan Lipur Gunung Pulai,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7359,Hutan Lipur Panti,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Hutan Lipur Panti,,,True,0.0,Free,,1.7916342,103.9345736,,OSM,Hutan Lipur Panti,Hutan Lipur Panti,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7360,Jalan Ledang Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Jalan Ledang Park,,,True,0.0,Free,,1.6043359,103.8133939,,OSM,Jalan Ledang Park,Jalan Ledang Park,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7361,Jalan Panti Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Jalan Panti Park,,,True,0.0,Free,,1.6058674,103.8085966,,OSM,Jalan Panti Park,Jalan Panti Park,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7362,Jalan Ayu 31 Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Jalan Ayu 31 Park,,,True,0.0,Free,,1.575997,103.7955884,,OSM,Jalan Ayu 31 Park,Jalan Ayu 31 Park,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
7363,Hutan Simpanan Kekal Soga,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Group of Friends,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Hutan Simpanan Kekal Soga,,,True,0.0,Free,,1.8344779,102.9693291,,OSM,Hutan Simpanan Kekal Soga,Hutan Simpanan Kekal Soga,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7364,Impian Emas Community Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Impian Emas Community Park,,,True,0.0,Free,,1.54129,103.6769279,,OSM,Impian Emas Community Park,Impian Emas Community Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7365,Dataran Tanjung,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Hostel,Beach & Island,Nature & Outdoors,attraction,4.3,0.0,Free,Dataran Tanjung,,,True,0.0,Free,,2.0472582,102.5546833,,OSM,Dataran Tanjung,Dataran Tanjung,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
7366,Dataran Teko,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Tour Bus,Budget Hotel,City & Urban,Nature & Outdoors,attraction,4.3,0.0,Free,Dataran Teko,,,True,0.0,Free,,2.4299849,103.8457205,,OSM,Dataran Teko,Dataran Teko,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,
7367,Edible Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Edible Park,,,True,0.0,Free,,1.412579,103.6257452,,OSM,Edible Park,Edible Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7368,Dataran Geo,Johor,Budget,Budget,False,medium,known_free_or_public_place,Sightseeing,1 Day,Family,Tour Bus,Homestay,City & Urban,Sightseeing & Tours,attraction,4.3,0.0,Free,Dataran Geo,,,True,0.0,Free,,1.9841068,102.6788624,,OSM,Dataran Geo,Dataran Geo,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,
7369,Dataran Kenanga,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Car/Self-Drive,Homestay,City & Urban,Nature & Outdoors,attraction,4.2,0.0,Free,Dataran Kenanga,,,True,0.0,Free,,1.8548218,103.0876813,,OSM,Dataran Kenanga,Dataran Kenanga,Nature & Outdoors,City & Urban,Nature,Free,Free,True,source_price,
7370,Ehsan Jaya 3 Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Ehsan Jaya 3 Park,,,True,0.0,Free,,1.5440751,103.8139424,,OSM,Ehsan Jaya 3 Park,Ehsan Jaya 3 Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7371,Park,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Park,,,True,0.0,Free,,1.4914625,103.8324057,,OSM,Entry Park,Entry Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,name_normalized;product_text_removed
7372,Forest City Maze,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Hostel,Eco & Wildlife,Nature & Outdoors,attraction,4.5,0.0,Free,Forest City Maze,,,True,0.0,Free,,1.3339712,103.5880491,,OSM,Forest City Maze,Forest City Maze,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
7373,Gunung Lambak (South,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Gunung Lambak (South,,,True,0.0,Free,,2.020063,103.3543409,,OSM,Gunung Lambak (South),Gunung Lambak (South,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7374,Gunung Belumut,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Group of Friends,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Gunung Belumut,,,True,0.0,Free,,2.0425573,103.5612178,,OSM,Gunung Belumut,Gunung Belumut,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7375,Gunung Panti Utara,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Gunung Panti Utara,,,True,0.0,Free,,1.8433165,103.889297,,OSM,Gunung Panti Utara,Gunung Panti Utara,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7376,Gunung Pertawai,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Gunung Pertawai,,,True,0.0,Free,,2.5100218,103.2849931,,OSM,Gunung Pertawai,Gunung Pertawai,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7377,Gunung Chemendong,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Gunung Chemendong,,,True,0.0,Free,,2.0829864,103.5586281,,OSM,Gunung Chemendong,Gunung Chemendong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7378,Gunung Gaong,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Gunung Gaong,,,True,0.0,Free,,1.8046,103.9155,,OSM,Gunung Gaong,Gunung Gaong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7379,Gunung Gua Rimau,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Group of Friends,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Gunung Gua Rimau,,,True,0.0,Free,,2.032058,103.5670289,,OSM,Gunung Gua Rimau,Gunung Gua Rimau,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7380,Gunung Janing,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Gunung Janing,,,True,0.0,Free,,2.5146333,103.4143331,,OSM,Gunung Janing,Gunung Janing,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7381,Gunung Janing Barat,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.4,0.0,Free,Gunung Janing Barat,,,True,0.0,Free,,2.516741,103.3895085,,OSM,Gunung Janing Barat,Gunung Janing Barat,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7382,Gunung Keriung,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Gunung Keriung,,,True,0.0,Free,,2.5920605,103.3537531,,OSM,Gunung Keriung,Gunung Keriung,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7383,Cactus Garden,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Cactus Garden,,,True,0.0,Free,,2.5225842,103.9746198,,OSM,Cactus Garden,Cactus Garden,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
7384,Bukit Tempayan,Johor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Tempayan,,,True,0.0,Free,,2.0133586,102.943705,,OSM,Bukit Tempayan,Bukit Tempayan,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
